Date,Time,Transaction ID,Receipt No.,Total,Total Cost,Payment Type,Category,Item,Option,Modifier,Quantity,Price per Unit,Discount,Tax,Payment ID,Cash Amount,Card Amount,Balance,Change Amount,Status,Order Type,Table Number,Customer Name,Customer Phone,Customer Email,Cashier
2025-07-04,22:09:28,TRANS_100000,REC_3380,640,640,Card,HOTDOGS,Bacon Overload,NULL,NULL,2,75,0,0,PAY_812556,0,640,0,0,Completed,Take-Out,NULL,Customer_1,09730921700,customer1@example.com,Peter Jones
2025-07-04,22:09:28,TRANS_100000,REC_3380,640,640,Card,DRINKS,Strawberry Lemon Yakult,LARGE,NULL,1,80,0,0,PAY_429005,0,640,0,0,Completed,Take-Out,NULL,Customer_1,09730921700,customer1@example.com,Peter Jones
2025-07-04,22:09:28,TRANS_100000,REC_3380,640,640,Card,SNACKS,Large Chicken Poppers,NULL,NULL,1,120,0,0,PAY_263303,0,640,0,0,Completed,Take-Out,NULL,Customer_1,09730921700,customer1@example.com,Peter Jones
2025-07-04,22:09:28,TRANS_100000,REC_3380,640,640,Card,DRINKS,Iced Coffee,LARGE,NULL,3,90,0,0,PAY_378744,0,640,0,0,Completed,Take-Out,NULL,Customer_1,09730921700,customer1@example.com,Peter Jones
2025-07-04,22:09:28,TRANS_100000,REC_3380,640,640,Card,ADD ONS,EXTRA SHOT ESPRESSO,NULL,NULL,1,20,0,0,PAY_918943,0,640,0,0,Completed,Take-Out,NULL,Customer_1,09730921700,customer1@example.com,Peter Jones
2025-07-04,20:09:39,TRANS_100001,REC_2883,510,510,Cash,HOTDOGS,Bacon Overload,NULL,NULL,2,75,0,0,PAY_677937,510,0,0,0,Completed,Delivery,NULL,Customer_2,09970994058,customer2@example.com,John Doe
2025-07-04,20:09:39,TRANS_100001,REC_2883,510,510,Cash,DRINKS,Strawberry Lemon Yakult,LARGE,NULL,2,80,0,0,PAY_772705,510,0,0,0,Completed,Delivery,NULL,Customer_2,09970994058,customer2@example.com,John Doe
2025-07-04,20:09:39,TRANS_100001,REC_2883,510,510,Cash,SNACKS,Large Chicken Poppers,NULL,NULL,1,120,0,0,PAY_353876,510,0,0,0,Completed,Delivery,NULL,Customer_2,09970994058,customer2@example.com,John Doe
2025-07-04,20:09:39,TRANS_100001,REC_2883,510,510,Cash,ADD ONS,SYRUPS,NULL,NULL,1,5,0,0,PAY_877672,510,0,0,0,Completed,Delivery,NULL,Customer_2,09970994058,customer2@example.com,John Doe
2025-07-04,20:09:39,TRANS_100001,REC_2883,510,510,Cash,HOTDOGS,Bacon Overload,NULL,NULL,1,75,0,0,PAY_944188,510,0,0,0,Completed,Delivery,NULL,Customer_2,09970994058,customer2@example.com,John Doe
2025-07-04,05:18:37,TRANS_100002,REC_9691,350,350,GCash,ADD ONS,SYRUPS,NULL,NULL,1,5,0,0,PAY_565878,0,0,0,0,Completed,Take-Out,NULL,Customer_3,09982393403,customer3@example.com,John Doe
2025-07-04,05:18:37,TRANS_100002,REC_9691,350,350,GCash,HOTDOGS,Plain Hotdog Sandwich,NULL,NULL,1,55,0,0,PAY_383579,0,0,0,0,Completed,Take-Out,NULL,Customer_3,09982393403,customer3@example.com,John Doe
2025-07-04,05:18:37,TRANS_100002,REC_9691,350,350,GCash,DRINKS,Strawberry Lemon Yakult,LARGE,NULL,1,80,0,0,PAY_871296,0,0,0,0,Completed,Take-Out,NULL,Customer_3,09982393403,customer3@example.com,John Doe
2025-07-04,05:18:37,TRANS_100002,REC_9691,350,350,GCash,DRINKS,Iced Coffee,LARGE,NULL,1,90,0,0,PAY_267936,0,0,0,0,Completed,Take-Out,NULL,Customer_3,09982393403,customer3@example.com,John Doe
2025-07-04,05:18:37,TRANS_100002,REC_9691,350,350,GCash,SNACKS,Large Chicken Poppers,NULL,NULL,1,120,0,0,PAY_872128,0,0,0,0,Completed,Take-Out,NULL,Customer_3,09982393403,customer3@example.com,John Doe
2025-07-04,20:46:42,TRANS_100003,REC_9099,670,670,GCash,HOTDOGS,Signature Cheesy Hotdog Sandwich,NULL,NULL,3,65,0,0,PAY_802165,0,0,0,0,Completed,Delivery,NULL,Customer_4,09895782988,customer4@example.com,Jane Smith
2025-07-04,20:46:42,TRANS_100003,REC_9099,670,670,GCash,DRINKS,Iced Coffee,LARGE,NULL,1,90,0,0,PAY_754265,0,0,0,0,Completed,Delivery,NULL,Customer_4,09895782988,customer4@example.com,Jane Smith
2025-07-04,20:46:42,TRANS_100003,REC_9099,670,670,GCash,DRINKS,Strawberry Lemon Yakult,LARGE,NULL,2,80,0,0,PAY_670251,0,0,0,0,Completed,Delivery,NULL,Customer_4,09895782988,customer4@example.com,Jane Smith
2025-07-04,20:46:42,TRANS_100003,REC_9099,670,670,GCash,HOTDOGS,Bacon Overload,NULL,NULL,3,75,0,0,PAY_803177,0,0,0,0,Completed,Delivery,NULL,Customer_4,09895782988,customer4@example.com,Jane Smith
2025-07-04,03:06:39,TRANS_100004,REC_6800,190,190,Card,ADD ONS,DIP,NULL,NULL,3,10,0,0,PAY_465026,0,190,0,0,Completed,Dine-In,11,Customer_5,09517723401,customer5@example.com,John Doe
2025-07-04,03:06:39,TRANS_100004,REC_6800,190,190,Card,SNACKS,Large Chicken Poppers,NULL,NULL,1,120,0,0,PAY_646988,0,190,0,0,Completed,Dine-In,10,Customer_5,09517723401,customer5@example.com,John Doe
2025-07-04,03:06:39,TRANS_100004,REC_6800,190,190,Card,SNACKS,French Fries,NULL,NULL,1,40,0,0,PAY_330727,0,190,0,0,Completed,Dine-In,13,Customer_5,09517723401,customer5@example.com,John Doe
2025-07-04,10:19:22,TRANS_100005,REC_1258,600,600,GCash,HOTDOGS,Bacon Overload,NULL,NULL,2,75,0,0,PAY_892972,0,0,0,0,Completed,Dine-In,4,Customer_6,09563283685,customer6@example.com,Peter Jones
